name,time,bandwidth,throughput,traffic
kpi_tcp,1563370232000000000,1.04855e+06,1179648,tcp_5M
kpi_tcp,1563370223000000000,9.90299e+07,111411200,tcp_100M
kpi_tcp,1563370211000000000,1.48895e+07,18612224,tcp_15M
kpi_tcp,1563370201000000000,3.54351e+08,398650544,tcp_1000M
kpi_tcp,1563370191000000000,1.4858e+08,185729024,tcp_150M
kpi_tcp,1563370181000000000,1.04855e+06,1179648,tcp_5M
kpi_tcp,1563370172000000000,9.89133e+07,111280128,tcp_100M
kpi_tcp,1563370160000000000,1.48895e+07,18612224,tcp_15M
kpi_tcp,1563370151000000000,3.81804e+08,429537158,tcp_1000M
kpi_tcp,1563370141000000000,1.4879e+08,185991168,tcp_150M
kpi_tcp,1563370131000000000,1.04855e+06,1179648,tcp_5M
kpi_tcp,1563370122000000000,9.89135e+07,111280128,tcp_100M
kpi_tcp,1563370111000000000,1.48893e+07,18612224,tcp_15M
kpi_tcp,1563370101000000000,4.11877e+08,463370270,tcp_1000M
kpi_tcp,1563370091000000000,1.48685e+08,185860096,tcp_150M
kpi_tcp,1563370081000000000,1.04854e+06,1179648,tcp_5M
kpi_tcp,1563370072000000000,9.89131e+07,111280128,tcp_100M
kpi_tcp,1563370061000000000,1.48894e+07,18612224,tcp_15M
kpi_tcp,1563370051000000000,4.11485e+08,462929186,tcp_1000M
kpi_tcp,1563370041000000000,1.48789e+08,185991168,tcp_150M
kpi_tcp,1563370031000000000,1.04855e+06,1179648,tcp_5M
kpi_tcp,1563370022000000000,9.86611e+07,110996258,tcp_100M
kpi_tcp,1563370011000000000,1.48893e+07,18612224,tcp_15M
kpi_tcp,1563370001000000000,4.00925e+08,451050380,tcp_1000M
kpi_tcp,1563369991000000000,1.4879e+08,185991168,tcp_150M
kpi_tcp,1563369982000000000,1.04855e+06,1179648,tcp_5M
kpi_tcp,1563369972000000000,9.90299e+07,111411200,tcp_100M
kpi_tcp,1563369961000000000,1.48895e+07,18612224,tcp_15M
kpi_tcp,1563369952000000000,4.05158e+08,455809172,tcp_1000M
kpi_tcp,1563369941000000000,1.48576e+08,185729024,tcp_150M
kpi_tcp,1563369932000000000,1.04855e+06,1179648,tcp_5M
kpi_tcp,1563369922000000000,9.89132e+07,111280128,tcp_100M
kpi_tcp,1563369912000000000,1.48894e+07,18612224,tcp_15M
kpi_tcp,1563369902000000000,4.10255e+08,461543684,tcp_1000M
kpi_tcp,1563369892000000000,1.48579e+08,185729024,tcp_150M
kpi_tcp,1563369882000000000,1.04855e+06,1179648,tcp_5M
kpi_tcp,1563369873000000000,9.89133e+07,111280128,tcp_100M
kpi_tcp,1563369862000000000,1.48894e+07,18612224,tcp_15M
kpi_tcp,1563369852000000000,4.0621e+08,456993278,tcp_1000M
kpi_tcp,1563369842000000000,1.48685e+08,185860096,tcp_150M
kpi_tcp,1563369832000000000,1.04855e+06,1179648,tcp_5M
kpi_tcp,1563369823000000000,9.90297e+07,111411200,tcp_100M
kpi_tcp,1563369812000000000,1.48895e+07,18612224,tcp_15M
kpi_tcp,1563369802000000000,4.10452e+08,461766050,tcp_1000M
kpi_tcp,1563369792000000000,1.49105e+08,186384384,tcp_150M
kpi_tcp,1563369782000000000,1.04855e+06,1179648,tcp_5M
kpi_tcp,1563369773000000000,9.90296e+07,111411200,tcp_100M
kpi_tcp,1563369762000000000,1.48895e+07,18612224,tcp_15M
kpi_tcp,1563369753000000000,4.17247e+08,469409506,tcp_1000M
kpi_tcp,1563369742000000000,1.48895e+08,186122240,tcp_150M
kpi_tcp,1563369733000000000,1.04855e+06,1179648,tcp_5M
kpi_tcp,1563369723000000000,9.8913e+07,111280128,tcp_100M
kpi_tcp,1563369712000000000,1.48894e+07,18612224,tcp_15M
kpi_tcp,1563369703000000000,4.03674e+08,454143302,tcp_1000M
kpi_tcp,1563369692000000000,1.4879e+08,185991168,tcp_150M
kpi_tcp,1563369683000000000,1.04855e+06,1179648,tcp_5M
kpi_tcp,1563369673000000000,9.90301e+07,111411200,tcp_100M
kpi_tcp,1563369662000000000,1.48895e+07,18612224,tcp_15M
kpi_tcp,1563369653000000000,4.09891e+08,461134858,tcp_1000M
kpi_tcp,1563369642000000000,1.4879e+08,185991168,tcp_150M
kpi_tcp,1563369633000000000,1.04855e+06,1179648,tcp_5M
kpi_tcp,1563369623000000000,9.89122e+07,111280128,tcp_100M
kpi_tcp,1563369612000000000,1.48895e+07,18612224,tcp_15M
kpi_tcp,1563369603000000000,3.93578e+08,442781186,tcp_1000M
kpi_tcp,1563369592000000000,1.4879e+08,185991168,tcp_150M
